scale,selectivity,complexity,query,method,latency_ms,rows,safe_by_rule,error
0.06,0.025,1,q9_ticket_topic_segments,view_barrier,0.2113,22,1,
0.06,0.025,1,q9_ticket_topic_segments,oblivious_forced,0.1269,22,1,
0.06,0.025,1,q9_ticket_topic_segments,predicate_injection,0.1671,22,1,
0.06,0.025,1,q9_ticket_topic_segments,pcqv_no_stats,0.1493,22,1,
0.06,0.025,1,q9_ticket_topic_segments,pcqv_forced,0.129,22,1,
0.06,0.025,1,q9_ticket_topic_segments,pcqv,0.1182,22,1,
0.06,0.025,1,q9_ticket_topic_segments,oracle_order,0.1428,22,1,
0.06,0.025,1,q10_acl_customer_rows,no_policy,0.4177,300,0,
0.06,0.025,1,q10_acl_customer_rows,post_join_filter,0.1923,16,1,
0.06,0.025,1,q10_acl_customer_rows,view_barrier,0.1051,16,1,
0.06,0.025,1,q10_acl_customer_rows,oblivious_forced,0.1559,16,1,
0.06,0.025,1,q10_acl_customer_rows,predicate_injection,0.0846,16,1,
0.06,0.025,1,q10_acl_customer_rows,pcqv_no_stats,0.0742,16,1,
0.06,0.025,1,q10_acl_customer_rows,pcqv_forced,0.0935,16,1,
0.06,0.025,1,q10_acl_customer_rows,pcqv,0.0683,16,1,
0.06,0.025,1,q10_acl_customer_rows,oracle_order,0.0654,16,1,
0.06,0.025,1,q11_order_ticket_bridge,no_policy,9.2277,40,0,
0.06,0.025,1,q11_order_ticket_bridge,post_join_filter,0.3609,21,1,
0.06,0.025,1,q11_order_ticket_bridge,view_barrier,0.5318,21,1,
0.06,0.025,1,q11_order_ticket_bridge,oblivious_forced,0.5197,21,1,
0.06,0.025,1,q11_order_ticket_bridge,predicate_injection,0.3542,21,1,
0.06,0.025,1,q11_order_ticket_bridge,pcqv_no_stats,0.2846,21,1,
0.06,0.025,1,q11_order_ticket_bridge,pcqv_forced,0.533,21,1,
0.06,0.025,1,q11_order_ticket_bridge,pcqv,0.6,21,1,
0.06,0.025,1,q11_order_ticket_bridge,oracle_order,0.4259,21,1,
0.06,0.025,1,q12_product_segment_revenue,no_policy,21.5691,27,0,
0.06,0.025,1,q12_product_segment_revenue,post_join_filter,0.5762,15,1,
0.06,0.025,1,q12_product_segment_revenue,view_barrier,0.9526,15,1,
0.06,0.025,1,q12_product_segment_revenue,oblivious_forced,0.452,15,1,
0.06,0.025,1,q12_product_segment_revenue,predicate_injection,0.4334,15,1,
0.06,0.025,1,q12_product_segment_revenue,pcqv_no_stats,0.4615,15,1,
0.06,0.025,1,q12_product_segment_revenue,pcqv_forced,0.4578,15,1,
0.06,0.025,1,q12_product_segment_revenue,pcqv,0.4261,15,1,
0.06,0.025,1,q12_product_segment_revenue,oracle_order,0.7027,15,1,
0.06,0.025,1,q13_order_lineitem_rows,no_policy,0.7942,300,0,
0.06,0.025,1,q13_order_lineitem_rows,post_join_filter,0.4063,145,1,
0.06,0.025,1,q13_order_lineitem_rows,view_barrier,0.965,145,1,
0.06,0.025,1,q13_order_lineitem_rows,oblivious_forced,0.4406,145,1,
0.06,0.025,1,q13_order_lineitem_rows,predicate_injection,0.4966,145,1,
0.06,0.025,1,q13_order_lineitem_rows,pcqv_no_stats,0.5066,145,1,
0.06,0.025,1,q13_order_lineitem_rows,pcqv_forced,0.5068,145,1,
0.06,0.025,1,q13_order_lineitem_rows,pcqv,0.5996,145,1,
0.06,0.025,1,q13_order_lineitem_rows,oracle_order,0.4103,145,1,
0.06,0.025,1,q14_support_owner_rows,no_policy,0.6216,300,0,
0.06,0.025,1,q14_support_owner_rows,post_join_filter,0.1772,46,1,
0.06,0.025,1,q14_support_owner_rows,view_barrier,0.2304,46,1,
0.06,0.025,1,q14_support_owner_rows,oblivious_forced,0.1171,46,1,
0.06,0.025,1,q14_support_owner_rows,predicate_injection,0.1455,46,1,
0.06,0.025,1,q14_support_owner_rows,pcqv_no_stats,0.1925,46,1,
0.06,0.025,1,q14_support_owner_rows,pcqv_forced,0.178,46,1,
0.06,0.025,1,q14_support_owner_rows,pcqv,0.1267,46,1,
0.06,0.025,1,q14_support_owner_rows,oracle_order,0.148,46,1,
0.06,0.025,1,q15_clearance_product_rows,no_policy,3.4979,102,0,
0.06,0.025,1,q15_clearance_product_rows,post_join_filter,6.1782,4,1,
0.06,0.025,1,q15_clearance_product_rows,view_barrier,0.5896,4,1,
0.06,0.025,1,q15_clearance_product_rows,oblivious_forced,0.1503,4,1,
0.06,0.025,1,q15_clearance_product_rows,predicate_injection,0.2928,4,1,
0.06,0.025,1,q15_clearance_product_rows,pcqv_no_stats,0.2802,4,1,
0.06,0.025,1,q15_clearance_product_rows,pcqv_forced,0.2478,4,1,
0.06,0.025,1,q15_clearance_product_rows,pcqv,0.4221,4,1,
0.06,0.025,1,q15_clearance_product_rows,oracle_order,0.2099,4,1,
0.06,0.025,1,q16_region_product_mix,no_policy,21.4556,72,0,
0.06,0.025,1,q16_region_product_mix,post_join_filter,0.6081,36,1,
0.06,0.025,1,q16_region_product_mix,view_barrier,1.3659,36,1,
0.06,0.025,1,q16_region_product_mix,oblivious_forced,0.6141,36,1,
0.06,0.025,1,q16_region_product_mix,predicate_injection,0.6141,36,1,
0.06,0.025,1,q16_region_product_mix,pcqv_no_stats,0.6225,36,1,
0.06,0.025,1,q16_region_product_mix,pcqv_forced,0.6085,36,1,
0.06,0.025,1,q16_region_product_mix,pcqv,0.9937,36,1,
0.06,0.025,1,q16_region_product_mix,oracle_order,0.6132,36,1,
0.06,0.025,2,q1_customer_orders,no_policy,2.9469,250,0,
0.06,0.025,2,q1_customer_orders,post_join_filter,0.1274,0,1,
0.06,0.025,2,q1_customer_orders,view_barrier,0.0176,0,1,
0.06,0.025,2,q1_customer_orders,oblivious_forced,0.1506,0,1,
0.06,0.025,2,q1_customer_orders,predicate_injection,0.0153,0,1,
0.06,0.025,2,q1_customer_orders,pcqv_no_stats,0.0147,0,1,
0.06,0.025,2,q1_customer_orders,pcqv_forced,0.0142,0,1,
0.06,0.025,2,q1_customer_orders,pcqv,0.015,0,1,
0.06,0.025,2,q1_customer_orders,oracle_order,0.0203,0,1,
