case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
1,fz001,aggregate,customers+orders,0.25,1,post_join_filter,1,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,view_barrier,1,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,predicate_injection,1,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,pcqv_forced,1,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,pcqv,1,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,oracle_order,1,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,unsafe_late_aggregate,0,0,6,3,
1,fz001,aggregate,customers+orders,0.25,1,mut_no_mask,0,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,mut_drop_tenant,0,0,6,3,
1,fz001,aggregate,customers+orders,0.25,1,mut_drop_purpose,0,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,mut_drop_clearance,0,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,mut_drop_region,0,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,mut_drop_cross_guard,0,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,mut_drop_acl,0,1,0,0,
1,fz001,aggregate,customers+orders,0.25,1,mut_no_group_guard,0,1,0,0,
2,fz002,aggregate,customers+orders,0.1,5,post_join_filter,1,1,0,0,
2,fz002,aggregate,customers+orders,0.1,5,view_barrier,1,1,0,0,
2,fz002,aggregate,customers+orders,0.1,5,predicate_injection,1,1,0,0,
2,fz002,aggregate,customers+orders,0.1,5,pcqv_forced,1,1,0,0,
2,fz002,aggregate,customers+orders,0.1,5,pcqv,1,1,0,0,
2,fz002,aggregate,customers+orders,0.1,5,oracle_order,1,1,0,0,
2,fz002,aggregate,customers+orders,0.1,5,unsafe_late_aggregate,0,0,47,40,
2,fz002,aggregate,customers+orders,0.1,5,mut_no_mask,0,1,0,0,
2,fz002,aggregate,customers+orders,0.1,5,mut_drop_tenant,0,0,22,15,
2,fz002,aggregate,customers+orders,0.1,5,mut_drop_purpose,0,0,18,11,
