selectivity,complexity,query,alias,table,estimated_policy_cardinality,actual_policy_cardinality,policy_q_error,estimated_without_policy,actual_without_policy,plain_q_error
0.5,1,q1_customer_orders,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,1,q1_customer_orders,o,orders,575.0,932,1.6209,1150.0,1809,1.573
0.5,1,q1_customer_orders,c,customers,240.0,251,1.0458,480.0,504,1.05
0.5,1,q2_revenue_by_product,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,1,q2_revenue_by_product,p,products,45.0,52,1.1556,90.0,97,1.0778
0.5,1,q2_revenue_by_product,o,orders,1650.0,1668,1.0109,3300.0,3322,1.0067
0.5,1,q3_support_tickets,t,tickets,400.0,434,1.085,800.0,787,1.0165
0.5,1,q3_support_tickets,c,customers,600.0,589,1.0187,1200.0,1200,1.0
0.5,1,q4_revenue_by_region,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,1,q4_revenue_by_region,o,orders,2500.0,2482,1.0073,5000.0,5000,1.0
0.5,1,q4_revenue_by_region,c,customers,600.0,589,1.0187,1200.0,1200,1.0
0.5,1,q5_high_value_segments,o,orders,1750.0,1752,1.0011,3500.0,3498,1.0006
0.5,1,q5_high_value_segments,c,customers,600.0,589,1.0187,1200.0,1200,1.0
0.5,1,q6_lineitem_product_count,l,lineitem,4800.0,4823,1.0048,9600.0,9586,1.0015
0.5,1,q6_lineitem_product_count,p,products,133.5,133,1.0038,267.0,267,1.0
0.5,1,q6_lineitem_product_count,o,orders,2500.0,2482,1.0073,5000.0,5000,1.0
0.5,1,q6_lineitem_product_count,c,customers,600.0,589,1.0187,1200.0,1200,1.0
0.5,1,q7_customer_summary,o,orders,2500.0,2482,1.0073,5000.0,5000,1.0
0.5,1,q7_customer_summary,c,customers,96.0,114,1.1875,192.0,207,1.0781
0.5,1,q8_sensitive_product_scan,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,1,q8_sensitive_product_scan,p,products,123.0,144,1.1707,246.0,283,1.1504
0.5,1,q9_ticket_topic_segments,t,tickets,1137.5,1196,1.0514,2275.0,2288,1.0057
0.5,1,q9_ticket_topic_segments,c,customers,516.0,571,1.1066,1032.0,1168,1.1318
0.5,1,q10_acl_customer_rows,c,customers,444.0,265,1.6755,888.0,548,1.6204
0.5,1,q11_order_ticket_bridge,o,orders,775.0,1284,1.6568,1550.0,2515,1.6226
0.5,1,q11_order_ticket_bridge,c,customers,600.0,589,1.0187,1200.0,1200,1.0
0.5,1,q11_order_ticket_bridge,t,tickets,750.0,767,1.0227,1500.0,1468,1.0218
0.5,1,q12_product_segment_revenue,o,orders,2500.0,2482,1.0073,5000.0,5000,1.0
0.5,1,q12_product_segment_revenue,c,customers,360.0,351,1.0256,720.0,729,1.0125
0.5,1,q12_product_segment_revenue,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,1,q12_product_segment_revenue,p,products,138.0,136,1.0147,276.0,281,1.0181
0.5,1,q13_order_lineitem_rows,o,orders,1400.0,1416,1.0114,2800.0,2781,1.0068
0.5,1,q13_order_lineitem_rows,l,lineitem,4260.0,4880,1.1455,8520.0,9745,1.1438
0.5,1,q14_support_owner_rows,t,tickets,1000.0,1032,1.032,2000.0,1993,1.0035
0.5,1,q14_support_owner_rows,c,customers,600.0,589,1.0187,1200.0,1200,1.0
0.5,1,q15_clearance_product_rows,p,products,51.0,48,1.0625,102.0,102,1.0
0.5,1,q15_clearance_product_rows,l,lineitem,4800.0,4753,1.0099,9600.0,9562,1.004
0.5,1,q16_region_product_mix,c,customers,600.0,589,1.0187,1200.0,1200,1.0
0.5,1,q16_region_product_mix,o,orders,1875.0,1910,1.0187,3750.0,3824,1.0197
0.5,1,q16_region_product_mix,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,1,q16_region_product_mix,p,products,126.0,144,1.1429,252.0,289,1.1468
0.5,2,q1_customer_orders,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,2,q1_customer_orders,o,orders,506.0,844,1.668,1150.0,1809,1.573
0.5,2,q1_customer_orders,c,customers,122.4,184,1.5033,480.0,504,1.05
0.5,2,q2_revenue_by_product,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,2,q2_revenue_by_product,p,products,41.4,46,1.1111,90.0,97,1.0778
0.5,2,q2_revenue_by_product,o,orders,1452.0,1501,1.0337,3300.0,3322,1.0067
0.5,2,q3_support_tickets,t,tickets,320.0,321,1.0031,800.0,787,1.0165
0.5,2,q3_support_tickets,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,2,q4_revenue_by_region,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,2,q4_revenue_by_region,o,orders,2200.0,2242,1.0191,5000.0,5000,1.0
0.5,2,q4_revenue_by_region,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,2,q5_high_value_segments,o,orders,1540.0,1589,1.0318,3500.0,3498,1.0006
0.5,2,q5_high_value_segments,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,2,q6_lineitem_product_count,l,lineitem,4800.0,4823,1.0048,9600.0,9586,1.0015
0.5,2,q6_lineitem_product_count,p,products,122.82,120,1.0235,267.0,267,1.0
0.5,2,q6_lineitem_product_count,o,orders,2200.0,2242,1.0191,5000.0,5000,1.0
0.5,2,q6_lineitem_product_count,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,2,q7_customer_summary,o,orders,2200.0,2242,1.0191,5000.0,5000,1.0
0.5,2,q7_customer_summary,c,customers,48.96,81,1.6544,192.0,207,1.0781
0.5,2,q8_sensitive_product_scan,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,2,q8_sensitive_product_scan,p,products,113.16,130,1.1488,246.0,283,1.1504
0.5,2,q9_ticket_topic_segments,t,tickets,910.0,967,1.0626,2275.0,2288,1.0057
0.5,2,q9_ticket_topic_segments,c,customers,263.16,410,1.558,1032.0,1168,1.1318
0.5,2,q10_acl_customer_rows,c,customers,226.44,179,1.265,888.0,548,1.6204
0.5,2,q11_order_ticket_bridge,o,orders,682.0,1166,1.7097,1550.0,2515,1.6226
0.5,2,q11_order_ticket_bridge,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,2,q11_order_ticket_bridge,t,tickets,600.0,510,1.1765,1500.0,1468,1.0218
0.5,2,q12_product_segment_revenue,o,orders,2200.0,2242,1.0191,5000.0,5000,1.0
0.5,2,q12_product_segment_revenue,c,customers,183.6,229,1.2473,720.0,729,1.0125
0.5,2,q12_product_segment_revenue,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,2,q12_product_segment_revenue,p,products,126.96,136,1.0712,276.0,281,1.0181
0.5,2,q13_order_lineitem_rows,o,orders,1232.0,1416,1.1494,2800.0,2781,1.0068
0.5,2,q13_order_lineitem_rows,l,lineitem,4260.0,4880,1.1455,8520.0,9745,1.1438
0.5,2,q14_support_owner_rows,t,tickets,800.0,828,1.035,2000.0,1993,1.0035
0.5,2,q14_support_owner_rows,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,2,q15_clearance_product_rows,p,products,46.92,42,1.1171,102.0,102,1.0
0.5,2,q15_clearance_product_rows,l,lineitem,4800.0,4753,1.0099,9600.0,9562,1.004
0.5,2,q16_region_product_mix,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,2,q16_region_product_mix,o,orders,1650.0,1724,1.0448,3750.0,3824,1.0197
0.5,2,q16_region_product_mix,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,2,q16_region_product_mix,p,products,115.92,131,1.1301,252.0,289,1.1468
0.5,3,q1_customer_orders,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,3,q1_customer_orders,o,orders,136.62,212,1.5517,1150.0,1809,1.573
0.5,3,q1_customer_orders,c,customers,122.4,184,1.5033,480.0,504,1.05
0.5,3,q2_revenue_by_product,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,3,q2_revenue_by_product,p,products,34.5,43,1.2464,90.0,97,1.0778
0.5,3,q2_revenue_by_product,o,orders,392.04,359,1.092,3300.0,3322,1.0067
0.5,3,q3_support_tickets,t,tickets,236.8,255,1.0769,800.0,787,1.0165
0.5,3,q3_support_tickets,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,3,q4_revenue_by_region,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,3,q4_revenue_by_region,o,orders,594.0,543,1.0939,5000.0,5000,1.0
0.5,3,q4_revenue_by_region,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,3,q5_high_value_segments,o,orders,415.8,402,1.0343,3500.0,3498,1.0006
0.5,3,q5_high_value_segments,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,3,q6_lineitem_product_count,l,lineitem,4800.0,4823,1.0048,9600.0,9586,1.0015
0.5,3,q6_lineitem_product_count,p,products,102.35,115,1.1236,267.0,267,1.0
0.5,3,q6_lineitem_product_count,o,orders,594.0,543,1.0939,5000.0,5000,1.0
0.5,3,q6_lineitem_product_count,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,3,q7_customer_summary,o,orders,594.0,543,1.0939,5000.0,5000,1.0
0.5,3,q7_customer_summary,c,customers,48.96,81,1.6544,192.0,207,1.0781
0.5,3,q8_sensitive_product_scan,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,3,q8_sensitive_product_scan,p,products,94.3,125,1.3256,246.0,283,1.1504
0.5,3,q9_ticket_topic_segments,t,tickets,673.4,734,1.09,2275.0,2288,1.0057
0.5,3,q9_ticket_topic_segments,c,customers,263.16,410,1.558,1032.0,1168,1.1318
0.5,3,q10_acl_customer_rows,c,customers,226.44,179,1.265,888.0,548,1.6204
0.5,3,q11_order_ticket_bridge,o,orders,184.14,297,1.6129,1550.0,2515,1.6226
0.5,3,q11_order_ticket_bridge,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,3,q11_order_ticket_bridge,t,tickets,444.0,392,1.1327,1500.0,1468,1.0218
0.5,3,q12_product_segment_revenue,o,orders,594.0,543,1.0939,5000.0,5000,1.0
0.5,3,q12_product_segment_revenue,c,customers,183.6,229,1.2473,720.0,729,1.0125
0.5,3,q12_product_segment_revenue,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,3,q12_product_segment_revenue,p,products,105.8,131,1.2382,276.0,281,1.0181
0.5,3,q13_order_lineitem_rows,o,orders,332.64,337,1.0131,2800.0,2781,1.0068
0.5,3,q13_order_lineitem_rows,l,lineitem,4260.0,4880,1.1455,8520.0,9745,1.1438
0.5,3,q14_support_owner_rows,t,tickets,592.0,628,1.0608,2000.0,1993,1.0035
0.5,3,q14_support_owner_rows,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,3,q15_clearance_product_rows,p,products,39.1,41,1.0486,102.0,102,1.0
0.5,3,q15_clearance_product_rows,l,lineitem,4800.0,4753,1.0099,9600.0,9562,1.004
0.5,3,q16_region_product_mix,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,3,q16_region_product_mix,o,orders,445.5,414,1.0761,3750.0,3824,1.0197
0.5,3,q16_region_product_mix,l,lineitem,6000.0,6031,1.0052,12000.0,12000,1.0
0.5,3,q16_region_product_mix,p,products,96.6,131,1.3561,252.0,289,1.1468
0.5,4,q1_customer_orders,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,4,q1_customer_orders,o,orders,102.465,162,1.581,1150.0,1809,1.573
0.5,4,q1_customer_orders,c,customers,122.4,184,1.5033,480.0,504,1.05
0.5,4,q2_revenue_by_product,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,4,q2_revenue_by_product,p,products,34.5,43,1.2464,90.0,97,1.0778
0.5,4,q2_revenue_by_product,o,orders,294.03,264,1.1138,3300.0,3322,1.0067
0.5,4,q3_support_tickets,t,tickets,236.8,255,1.0769,800.0,787,1.0165
0.5,4,q3_support_tickets,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,4,q4_revenue_by_region,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,4,q4_revenue_by_region,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,4,q4_revenue_by_region,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,4,q5_high_value_segments,o,orders,311.85,298,1.0465,3500.0,3498,1.0006
0.5,4,q5_high_value_segments,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,4,q6_lineitem_product_count,l,lineitem,4224.0,4382,1.0374,9600.0,9586,1.0015
0.5,4,q6_lineitem_product_count,p,products,102.35,115,1.1236,267.0,267,1.0
0.5,4,q6_lineitem_product_count,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,4,q6_lineitem_product_count,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,4,q7_customer_summary,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,4,q7_customer_summary,c,customers,48.96,81,1.6544,192.0,207,1.0781
0.5,4,q8_sensitive_product_scan,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,4,q8_sensitive_product_scan,p,products,94.3,125,1.3256,246.0,283,1.1504
0.5,4,q9_ticket_topic_segments,t,tickets,673.4,734,1.09,2275.0,2288,1.0057
0.5,4,q9_ticket_topic_segments,c,customers,263.16,410,1.558,1032.0,1168,1.1318
0.5,4,q10_acl_customer_rows,c,customers,226.44,179,1.265,888.0,548,1.6204
0.5,4,q11_order_ticket_bridge,o,orders,138.105,226,1.6364,1550.0,2515,1.6226
0.5,4,q11_order_ticket_bridge,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,4,q11_order_ticket_bridge,t,tickets,444.0,392,1.1327,1500.0,1468,1.0218
0.5,4,q12_product_segment_revenue,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,4,q12_product_segment_revenue,c,customers,183.6,229,1.2473,720.0,729,1.0125
0.5,4,q12_product_segment_revenue,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,4,q12_product_segment_revenue,p,products,105.8,131,1.2382,276.0,281,1.0181
0.5,4,q13_order_lineitem_rows,o,orders,249.48,247,1.01,2800.0,2781,1.0068
0.5,4,q13_order_lineitem_rows,l,lineitem,3748.8,4417,1.1782,8520.0,9745,1.1438
0.5,4,q14_support_owner_rows,t,tickets,592.0,628,1.0608,2000.0,1993,1.0035
0.5,4,q14_support_owner_rows,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,4,q15_clearance_product_rows,p,products,39.1,41,1.0486,102.0,102,1.0
0.5,4,q15_clearance_product_rows,l,lineitem,4224.0,4327,1.0244,9600.0,9562,1.004
0.5,4,q16_region_product_mix,c,customers,306.0,410,1.3399,1200.0,1200,1.0
0.5,4,q16_region_product_mix,o,orders,334.125,309,1.0813,3750.0,3824,1.0197
0.5,4,q16_region_product_mix,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,4,q16_region_product_mix,p,products,96.6,131,1.3561,252.0,289,1.1468
0.5,5,q1_customer_orders,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,5,q1_customer_orders,o,orders,102.465,162,1.581,1150.0,1809,1.573
0.5,5,q1_customer_orders,c,customers,130.56,187,1.4323,480.0,504,1.05
0.5,5,q2_revenue_by_product,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,5,q2_revenue_by_product,p,products,34.5,43,1.2464,90.0,97,1.0778
0.5,5,q2_revenue_by_product,o,orders,294.03,264,1.1138,3300.0,3322,1.0067
0.5,5,q3_support_tickets,t,tickets,236.8,255,1.0769,800.0,787,1.0165
0.5,5,q3_support_tickets,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,5,q4_revenue_by_region,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,5,q4_revenue_by_region,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,5,q4_revenue_by_region,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,5,q5_high_value_segments,o,orders,311.85,298,1.0465,3500.0,3498,1.0006
0.5,5,q5_high_value_segments,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,5,q6_lineitem_product_count,l,lineitem,4224.0,4382,1.0374,9600.0,9586,1.0015
0.5,5,q6_lineitem_product_count,p,products,102.35,115,1.1236,267.0,267,1.0
0.5,5,q6_lineitem_product_count,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,5,q6_lineitem_product_count,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,5,q7_customer_summary,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,5,q7_customer_summary,c,customers,52.224,82,1.5702,192.0,207,1.0781
0.5,5,q8_sensitive_product_scan,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,5,q8_sensitive_product_scan,p,products,94.3,125,1.3256,246.0,283,1.1504
0.5,5,q9_ticket_topic_segments,t,tickets,673.4,734,1.09,2275.0,2288,1.0057
0.5,5,q9_ticket_topic_segments,c,customers,280.704,418,1.4891,1032.0,1168,1.1318
0.5,5,q10_acl_customer_rows,c,customers,241.536,182,1.3271,888.0,548,1.6204
0.5,5,q11_order_ticket_bridge,o,orders,138.105,226,1.6364,1550.0,2515,1.6226
0.5,5,q11_order_ticket_bridge,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,5,q11_order_ticket_bridge,t,tickets,444.0,392,1.1327,1500.0,1468,1.0218
0.5,5,q12_product_segment_revenue,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,5,q12_product_segment_revenue,c,customers,195.84,233,1.1897,720.0,729,1.0125
0.5,5,q12_product_segment_revenue,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,5,q12_product_segment_revenue,p,products,105.8,131,1.2382,276.0,281,1.0181
0.5,5,q13_order_lineitem_rows,o,orders,249.48,247,1.01,2800.0,2781,1.0068
0.5,5,q13_order_lineitem_rows,l,lineitem,3748.8,4417,1.1782,8520.0,9745,1.1438
0.5,5,q14_support_owner_rows,t,tickets,592.0,628,1.0608,2000.0,1993,1.0035
0.5,5,q14_support_owner_rows,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,5,q15_clearance_product_rows,p,products,39.1,41,1.0486,102.0,102,1.0
0.5,5,q15_clearance_product_rows,l,lineitem,4224.0,4327,1.0244,9600.0,9562,1.004
0.5,5,q16_region_product_mix,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,5,q16_region_product_mix,o,orders,334.125,309,1.0813,3750.0,3824,1.0197
0.5,5,q16_region_product_mix,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,5,q16_region_product_mix,p,products,96.6,131,1.3561,252.0,289,1.1468
0.5,6,q1_customer_orders,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,6,q1_customer_orders,o,orders,102.465,162,1.581,1150.0,1809,1.573
0.5,6,q1_customer_orders,c,customers,130.56,187,1.4323,480.0,504,1.05
0.5,6,q2_revenue_by_product,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,6,q2_revenue_by_product,p,products,34.5,43,1.2464,90.0,97,1.0778
0.5,6,q2_revenue_by_product,o,orders,294.03,264,1.1138,3300.0,3322,1.0067
0.5,6,q3_support_tickets,t,tickets,236.8,255,1.0769,800.0,787,1.0165
0.5,6,q3_support_tickets,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,6,q4_revenue_by_region,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,6,q4_revenue_by_region,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,6,q4_revenue_by_region,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,6,q5_high_value_segments,o,orders,311.85,298,1.0465,3500.0,3498,1.0006
0.5,6,q5_high_value_segments,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,6,q6_lineitem_product_count,l,lineitem,4224.0,4382,1.0374,9600.0,9586,1.0015
0.5,6,q6_lineitem_product_count,p,products,102.35,115,1.1236,267.0,267,1.0
0.5,6,q6_lineitem_product_count,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,6,q6_lineitem_product_count,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,6,q7_customer_summary,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,6,q7_customer_summary,c,customers,52.224,82,1.5702,192.0,207,1.0781
0.5,6,q8_sensitive_product_scan,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,6,q8_sensitive_product_scan,p,products,94.3,125,1.3256,246.0,283,1.1504
0.5,6,q9_ticket_topic_segments,t,tickets,673.4,734,1.09,2275.0,2288,1.0057
0.5,6,q9_ticket_topic_segments,c,customers,280.704,418,1.4891,1032.0,1168,1.1318
0.5,6,q10_acl_customer_rows,c,customers,241.536,182,1.3271,888.0,548,1.6204
0.5,6,q11_order_ticket_bridge,o,orders,138.105,226,1.6364,1550.0,2515,1.6226
0.5,6,q11_order_ticket_bridge,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,6,q11_order_ticket_bridge,t,tickets,444.0,392,1.1327,1500.0,1468,1.0218
0.5,6,q12_product_segment_revenue,o,orders,445.5,405,1.1,5000.0,5000,1.0
0.5,6,q12_product_segment_revenue,c,customers,195.84,233,1.1897,720.0,729,1.0125
0.5,6,q12_product_segment_revenue,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,6,q12_product_segment_revenue,p,products,105.8,131,1.2382,276.0,281,1.0181
0.5,6,q13_order_lineitem_rows,o,orders,249.48,247,1.01,2800.0,2781,1.0068
0.5,6,q13_order_lineitem_rows,l,lineitem,3748.8,4417,1.1782,8520.0,9745,1.1438
0.5,6,q14_support_owner_rows,t,tickets,592.0,628,1.0608,2000.0,1993,1.0035
0.5,6,q14_support_owner_rows,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,6,q15_clearance_product_rows,p,products,39.1,41,1.0486,102.0,102,1.0
0.5,6,q15_clearance_product_rows,l,lineitem,4224.0,4327,1.0244,9600.0,9562,1.004
0.5,6,q16_region_product_mix,c,customers,326.4,418,1.2806,1200.0,1200,1.0
0.5,6,q16_region_product_mix,o,orders,334.125,309,1.0813,3750.0,3824,1.0197
0.5,6,q16_region_product_mix,l,lineitem,5280.0,5480,1.0379,12000.0,12000,1.0
0.5,6,q16_region_product_mix,p,products,96.6,131,1.3561,252.0,289,1.1468
