selectivity,complexity,query,alias,table,estimated_policy_cardinality,actual_policy_cardinality,policy_q_error,estimated_without_policy,actual_without_policy,plain_q_error
0.25,1,q6_lineitem_product_count,o,orders,1250.0,1223,1.0221,5000.0,5000,1.0
0.25,1,q6_lineitem_product_count,c,customers,300.0,303,1.01,1200.0,1200,1.0
0.25,1,q7_customer_summary,o,orders,1250.0,1223,1.0221,5000.0,5000,1.0
0.25,1,q7_customer_summary,c,customers,48.0,64,1.3333,192.0,207,1.0781
0.25,1,q8_sensitive_product_scan,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,1,q8_sensitive_product_scan,p,products,61.5,84,1.3659,246.0,283,1.1504
0.25,1,q9_ticket_topic_segments,t,tickets,568.75,631,1.1095,2275.0,2288,1.0057
0.25,1,q9_ticket_topic_segments,c,customers,258.0,292,1.1318,1032.0,1168,1.1318
0.25,1,q10_acl_customer_rows,c,customers,222.0,133,1.6692,888.0,548,1.6204
0.25,1,q11_order_ticket_bridge,o,orders,387.5,639,1.649,1550.0,2515,1.6226
0.25,1,q11_order_ticket_bridge,c,customers,300.0,303,1.01,1200.0,1200,1.0
0.25,1,q11_order_ticket_bridge,t,tickets,375.0,421,1.1227,1500.0,1468,1.0218
0.25,1,q12_product_segment_revenue,o,orders,1250.0,1223,1.0221,5000.0,5000,1.0
0.25,1,q12_product_segment_revenue,c,customers,180.0,182,1.0111,720.0,729,1.0125
0.25,1,q12_product_segment_revenue,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,1,q12_product_segment_revenue,p,products,69.0,81,1.1739,276.0,281,1.0181
0.25,1,q13_order_lineitem_rows,o,orders,700.0,703,1.0043,2800.0,2781,1.0068
0.25,1,q13_order_lineitem_rows,l,lineitem,2130.0,2410,1.1315,8520.0,9745,1.1438
0.25,1,q14_support_owner_rows,t,tickets,500.0,544,1.088,2000.0,1993,1.0035
0.25,1,q14_support_owner_rows,c,customers,300.0,303,1.01,1200.0,1200,1.0
0.25,1,q15_clearance_product_rows,p,products,25.5,29,1.1373,102.0,102,1.0
0.25,1,q15_clearance_product_rows,l,lineitem,2400.0,2364,1.0152,9600.0,9562,1.004
0.25,1,q16_region_product_mix,c,customers,300.0,303,1.01,1200.0,1200,1.0
0.25,1,q16_region_product_mix,o,orders,937.5,935,1.0027,3750.0,3824,1.0197
0.25,1,q16_region_product_mix,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,1,q16_region_product_mix,p,products,63.0,82,1.3016,252.0,289,1.1468
0.25,2,q1_customer_orders,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,2,q1_customer_orders,o,orders,253.0,421,1.664,1150.0,1809,1.573
0.25,2,q1_customer_orders,c,customers,40.8,69,1.6912,480.0,504,1.05
0.25,2,q2_revenue_by_product,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,2,q2_revenue_by_product,p,products,20.7,26,1.256,90.0,97,1.0778
0.25,2,q2_revenue_by_product,o,orders,726.0,744,1.0248,3300.0,3322,1.0067
0.25,2,q3_support_tickets,t,tickets,160.0,172,1.075,800.0,787,1.0165
0.25,2,q3_support_tickets,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,2,q4_revenue_by_region,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,2,q4_revenue_by_region,o,orders,1100.0,1111,1.01,5000.0,5000,1.0
0.25,2,q4_revenue_by_region,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,2,q5_high_value_segments,o,orders,770.0,793,1.0299,3500.0,3498,1.0006
0.25,2,q5_high_value_segments,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,2,q6_lineitem_product_count,l,lineitem,2400.0,2458,1.0242,9600.0,9586,1.0015
0.25,2,q6_lineitem_product_count,p,products,61.41,73,1.1887,267.0,267,1.0
0.25,2,q6_lineitem_product_count,o,orders,1100.0,1111,1.01,5000.0,5000,1.0
0.25,2,q6_lineitem_product_count,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,2,q7_customer_summary,o,orders,1100.0,1111,1.01,5000.0,5000,1.0
0.25,2,q7_customer_summary,c,customers,16.32,34,2.0833,192.0,207,1.0781
0.25,2,q8_sensitive_product_scan,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,2,q8_sensitive_product_scan,p,products,56.58,78,1.3786,246.0,283,1.1504
0.25,2,q9_ticket_topic_segments,t,tickets,455.0,507,1.1143,2275.0,2288,1.0057
0.25,2,q9_ticket_topic_segments,c,customers,87.72,155,1.767,1032.0,1168,1.1318
0.25,2,q10_acl_customer_rows,c,customers,75.48,70,1.0783,888.0,548,1.6204
0.25,2,q11_order_ticket_bridge,o,orders,341.0,587,1.7214,1550.0,2515,1.6226
0.25,2,q11_order_ticket_bridge,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,2,q11_order_ticket_bridge,t,tickets,300.0,282,1.0638,1500.0,1468,1.0218
0.25,2,q12_product_segment_revenue,o,orders,1100.0,1111,1.01,5000.0,5000,1.0
0.25,2,q12_product_segment_revenue,c,customers,61.2,99,1.6176,720.0,729,1.0125
0.25,2,q12_product_segment_revenue,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,2,q12_product_segment_revenue,p,products,63.48,81,1.276,276.0,281,1.0181
0.25,2,q13_order_lineitem_rows,o,orders,616.0,703,1.1412,2800.0,2781,1.0068
0.25,2,q13_order_lineitem_rows,l,lineitem,2130.0,2410,1.1315,8520.0,9745,1.1438
0.25,2,q14_support_owner_rows,t,tickets,400.0,430,1.075,2000.0,1993,1.0035
0.25,2,q14_support_owner_rows,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,2,q15_clearance_product_rows,p,products,23.46,27,1.1509,102.0,102,1.0
0.25,2,q15_clearance_product_rows,l,lineitem,2400.0,2364,1.0152,9600.0,9562,1.004
0.25,2,q16_region_product_mix,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,2,q16_region_product_mix,o,orders,825.0,856,1.0376,3750.0,3824,1.0197
0.25,2,q16_region_product_mix,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,2,q16_region_product_mix,p,products,57.96,76,1.3112,252.0,289,1.1468
0.25,3,q1_customer_orders,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,3,q1_customer_orders,o,orders,68.31,118,1.7274,1150.0,1809,1.573
0.25,3,q1_customer_orders,c,customers,40.8,69,1.6912,480.0,504,1.05
0.25,3,q2_revenue_by_product,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,3,q2_revenue_by_product,p,products,10.35,20,1.9324,90.0,97,1.0778
0.25,3,q2_revenue_by_product,o,orders,196.02,178,1.1012,3300.0,3322,1.0067
0.25,3,q3_support_tickets,t,tickets,118.4,136,1.1486,800.0,787,1.0165
0.25,3,q3_support_tickets,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,3,q4_revenue_by_region,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,3,q4_revenue_by_region,o,orders,297.0,275,1.08,5000.0,5000,1.0
0.25,3,q4_revenue_by_region,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,3,q5_high_value_segments,o,orders,207.9,209,1.0053,3500.0,3498,1.0006
0.25,3,q5_high_value_segments,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,3,q6_lineitem_product_count,l,lineitem,2400.0,2458,1.0242,9600.0,9586,1.0015
0.25,3,q6_lineitem_product_count,p,products,30.705,48,1.5633,267.0,267,1.0
0.25,3,q6_lineitem_product_count,o,orders,297.0,275,1.08,5000.0,5000,1.0
0.25,3,q6_lineitem_product_count,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,3,q7_customer_summary,o,orders,297.0,275,1.08,5000.0,5000,1.0
0.25,3,q7_customer_summary,c,customers,16.32,34,2.0833,192.0,207,1.0781
0.25,3,q8_sensitive_product_scan,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,3,q8_sensitive_product_scan,p,products,28.29,51,1.8028,246.0,283,1.1504
0.25,3,q9_ticket_topic_segments,t,tickets,336.7,384,1.1405,2275.0,2288,1.0057
0.25,3,q9_ticket_topic_segments,c,customers,87.72,155,1.767,1032.0,1168,1.1318
0.25,3,q10_acl_customer_rows,c,customers,75.48,70,1.0783,888.0,548,1.6204
0.25,3,q11_order_ticket_bridge,o,orders,92.07,162,1.7595,1550.0,2515,1.6226
0.25,3,q11_order_ticket_bridge,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,3,q11_order_ticket_bridge,t,tickets,222.0,219,1.0137,1500.0,1468,1.0218
0.25,3,q12_product_segment_revenue,o,orders,297.0,275,1.08,5000.0,5000,1.0
0.25,3,q12_product_segment_revenue,c,customers,61.2,99,1.6176,720.0,729,1.0125
0.25,3,q12_product_segment_revenue,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,3,q12_product_segment_revenue,p,products,31.74,54,1.7013,276.0,281,1.0181
0.25,3,q13_order_lineitem_rows,o,orders,166.32,175,1.0522,2800.0,2781,1.0068
0.25,3,q13_order_lineitem_rows,l,lineitem,2130.0,2410,1.1315,8520.0,9745,1.1438
0.25,3,q14_support_owner_rows,t,tickets,296.0,327,1.1047,2000.0,1993,1.0035
0.25,3,q14_support_owner_rows,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,3,q15_clearance_product_rows,p,products,11.73,17,1.4493,102.0,102,1.0
0.25,3,q15_clearance_product_rows,l,lineitem,2400.0,2364,1.0152,9600.0,9562,1.004
0.25,3,q16_region_product_mix,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,3,q16_region_product_mix,o,orders,222.75,205,1.0866,3750.0,3824,1.0197
0.25,3,q16_region_product_mix,l,lineitem,3000.0,3024,1.008,12000.0,12000,1.0
0.25,3,q16_region_product_mix,p,products,28.98,54,1.8634,252.0,289,1.1468
0.25,4,q1_customer_orders,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,4,q1_customer_orders,o,orders,34.155,63,1.8445,1150.0,1809,1.573
0.25,4,q1_customer_orders,c,customers,40.8,69,1.6912,480.0,504,1.05
0.25,4,q2_revenue_by_product,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,4,q2_revenue_by_product,p,products,10.35,20,1.9324,90.0,97,1.0778
0.25,4,q2_revenue_by_product,o,orders,98.01,93,1.0539,3300.0,3322,1.0067
0.25,4,q3_support_tickets,t,tickets,118.4,136,1.1486,800.0,787,1.0165
0.25,4,q3_support_tickets,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,4,q4_revenue_by_region,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,4,q4_revenue_by_region,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,4,q4_revenue_by_region,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,4,q5_high_value_segments,o,orders,103.95,108,1.039,3500.0,3498,1.0006
0.25,4,q5_high_value_segments,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,4,q6_lineitem_product_count,l,lineitem,2112.0,2243,1.062,9600.0,9586,1.0015
0.25,4,q6_lineitem_product_count,p,products,30.705,48,1.5633,267.0,267,1.0
0.25,4,q6_lineitem_product_count,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,4,q6_lineitem_product_count,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,4,q7_customer_summary,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,4,q7_customer_summary,c,customers,16.32,34,2.0833,192.0,207,1.0781
0.25,4,q8_sensitive_product_scan,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,4,q8_sensitive_product_scan,p,products,28.29,51,1.8028,246.0,283,1.1504
0.25,4,q9_ticket_topic_segments,t,tickets,336.7,384,1.1405,2275.0,2288,1.0057
0.25,4,q9_ticket_topic_segments,c,customers,87.72,155,1.767,1032.0,1168,1.1318
0.25,4,q10_acl_customer_rows,c,customers,75.48,70,1.0783,888.0,548,1.6204
0.25,4,q11_order_ticket_bridge,o,orders,46.035,90,1.955,1550.0,2515,1.6226
0.25,4,q11_order_ticket_bridge,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,4,q11_order_ticket_bridge,t,tickets,222.0,219,1.0137,1500.0,1468,1.0218
0.25,4,q12_product_segment_revenue,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,4,q12_product_segment_revenue,c,customers,61.2,99,1.6176,720.0,729,1.0125
0.25,4,q12_product_segment_revenue,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,4,q12_product_segment_revenue,p,products,31.74,54,1.7013,276.0,281,1.0181
0.25,4,q13_order_lineitem_rows,o,orders,83.16,93,1.1183,2800.0,2781,1.0068
0.25,4,q13_order_lineitem_rows,l,lineitem,1874.4,2198,1.1726,8520.0,9745,1.1438
0.25,4,q14_support_owner_rows,t,tickets,296.0,327,1.1047,2000.0,1993,1.0035
0.25,4,q14_support_owner_rows,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,4,q15_clearance_product_rows,p,products,11.73,17,1.4493,102.0,102,1.0
0.25,4,q15_clearance_product_rows,l,lineitem,2112.0,2181,1.0327,9600.0,9562,1.004
0.25,4,q16_region_product_mix,c,customers,102.0,155,1.5196,1200.0,1200,1.0
0.25,4,q16_region_product_mix,o,orders,111.375,115,1.0325,3750.0,3824,1.0197
0.25,4,q16_region_product_mix,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,4,q16_region_product_mix,p,products,28.98,54,1.8634,252.0,289,1.1468
0.25,5,q1_customer_orders,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,5,q1_customer_orders,o,orders,34.155,63,1.8445,1150.0,1809,1.573
0.25,5,q1_customer_orders,c,customers,44.88,71,1.582,480.0,504,1.05
0.25,5,q2_revenue_by_product,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,5,q2_revenue_by_product,p,products,10.35,20,1.9324,90.0,97,1.0778
0.25,5,q2_revenue_by_product,o,orders,98.01,93,1.0539,3300.0,3322,1.0067
0.25,5,q3_support_tickets,t,tickets,118.4,136,1.1486,800.0,787,1.0165
0.25,5,q3_support_tickets,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,5,q4_revenue_by_region,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,5,q4_revenue_by_region,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,5,q4_revenue_by_region,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,5,q5_high_value_segments,o,orders,103.95,108,1.039,3500.0,3498,1.0006
0.25,5,q5_high_value_segments,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,5,q6_lineitem_product_count,l,lineitem,2112.0,2243,1.062,9600.0,9586,1.0015
0.25,5,q6_lineitem_product_count,p,products,30.705,48,1.5633,267.0,267,1.0
0.25,5,q6_lineitem_product_count,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,5,q6_lineitem_product_count,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,5,q7_customer_summary,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,5,q7_customer_summary,c,customers,17.952,36,2.0053,192.0,207,1.0781
0.25,5,q8_sensitive_product_scan,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,5,q8_sensitive_product_scan,p,products,28.29,51,1.8028,246.0,283,1.1504
0.25,5,q9_ticket_topic_segments,t,tickets,336.7,384,1.1405,2275.0,2288,1.0057
0.25,5,q9_ticket_topic_segments,c,customers,96.492,159,1.6478,1032.0,1168,1.1318
0.25,5,q10_acl_customer_rows,c,customers,83.028,70,1.1861,888.0,548,1.6204
0.25,5,q11_order_ticket_bridge,o,orders,46.035,90,1.955,1550.0,2515,1.6226
0.25,5,q11_order_ticket_bridge,c,customers,112.2,159,1.4171,1200.0,1200,1.0
