selectivity,complexity,query,method,compile_ms,sql_chars,iterations
0.025,1,q11_order_ticket_bridge,predicate_injection,0.014703,323,4
0.025,1,q11_order_ticket_bridge,pcqv_no_stats,0.048404,335,4
0.025,1,q11_order_ticket_bridge,pcqv_forced,0.075516,335,4
0.025,1,q11_order_ticket_bridge,pcqv,0.181974,323,4
0.025,1,q11_order_ticket_bridge,oracle_order,0.841293,335,1
0.025,1,q12_product_segment_revenue,post_join_filter,0.060815,987,4
0.025,1,q12_product_segment_revenue,view_barrier,0.015795,560,4
0.025,1,q12_product_segment_revenue,oblivious_forced,0.013922,402,4
0.025,1,q12_product_segment_revenue,predicate_injection,0.01277,384,4
0.025,1,q12_product_segment_revenue,pcqv_no_stats,0.179375,402,4
0.025,1,q12_product_segment_revenue,pcqv_forced,0.341466,402,4
0.025,1,q12_product_segment_revenue,pcqv,0.613611,384,4
0.025,1,q12_product_segment_revenue,oracle_order,4.198857,402,1
0.025,1,q13_order_lineitem_rows,post_join_filter,0.036423,578,4
0.025,1,q13_order_lineitem_rows,view_barrier,0.011002,347,4
0.025,1,q13_order_lineitem_rows,oblivious_forced,0.009965,263,4
0.025,1,q13_order_lineitem_rows,predicate_injection,0.008559,257,4
0.025,1,q13_order_lineitem_rows,pcqv_no_stats,0.021037,263,4
0.025,1,q13_order_lineitem_rows,pcqv_forced,0.036595,263,4
0.025,1,q13_order_lineitem_rows,pcqv,0.0755,257,4
0.025,1,q13_order_lineitem_rows,oracle_order,0.557462,263,1
0.025,1,q14_support_owner_rows,post_join_filter,0.03447,655,4
0.025,1,q14_support_owner_rows,view_barrier,0.010315,358,4
0.025,1,q14_support_owner_rows,oblivious_forced,0.009699,274,4
0.025,1,q14_support_owner_rows,predicate_injection,0.017562,268,4
0.025,1,q14_support_owner_rows,pcqv_no_stats,0.020721,274,4
0.025,1,q14_support_owner_rows,pcqv_forced,0.026642,274,4
0.025,1,q14_support_owner_rows,pcqv,0.072847,268,4
0.025,1,q14_support_owner_rows,oracle_order,0.258955,274,1
0.025,1,q15_clearance_product_rows,post_join_filter,0.034037,540,4
0.025,1,q15_clearance_product_rows,view_barrier,0.010377,381,4
0.025,1,q15_clearance_product_rows,oblivious_forced,0.009476,297,4
0.025,1,q15_clearance_product_rows,predicate_injection,0.008304,291,4
0.025,1,q15_clearance_product_rows,pcqv_no_stats,0.026657,297,4
0.025,1,q15_clearance_product_rows,pcqv_forced,0.026748,297,4
0.025,1,q15_clearance_product_rows,pcqv,0.070032,291,4
0.025,1,q15_clearance_product_rows,oracle_order,0.501728,297,1
0.025,1,q16_region_product_mix,post_join_filter,0.06581,1008,4
0.025,1,q16_region_product_mix,view_barrier,0.015235,581,4
0.025,1,q16_region_product_mix,oblivious_forced,0.013862,423,4
0.025,1,q16_region_product_mix,predicate_injection,0.012566,405,4
0.025,1,q16_region_product_mix,pcqv_no_stats,0.174159,423,4
0.025,1,q16_region_product_mix,pcqv_forced,0.355676,423,4
0.025,1,q16_region_product_mix,pcqv,0.615049,405,4
0.025,1,q16_region_product_mix,oracle_order,2.42803,423,1
0.025,3,q1_customer_orders,post_join_filter,0.048668,887,4
0.025,3,q1_customer_orders,view_barrier,0.017795,527,4
0.025,3,q1_customer_orders,oblivious_forced,0.014915,406,4
0.025,3,q1_customer_orders,predicate_injection,0.013632,394,4
0.025,3,q1_customer_orders,pcqv_no_stats,0.052349,406,4
0.025,3,q1_customer_orders,pcqv_forced,0.104638,406,4
0.025,3,q1_customer_orders,pcqv,0.301146,406,4
0.025,3,q1_customer_orders,oracle_order,0.805542,406,1
0.025,3,q2_revenue_by_product,post_join_filter,0.048638,907,4
0.025,3,q2_revenue_by_product,view_barrier,0.015996,593,4
0.025,3,q2_revenue_by_product,oblivious_forced,0.014074,472,4
