suite,claim,median,ci_low,ci_high,pairs
main,pcqv_vs_view_barrier,2.74007208122565,2.3698451672924565,3.026540701477324,480
main,pcqv_vs_post_join_filter,1.3083103174344977,1.236565937539512,1.3971915322874902,480
main,pcqv_vs_oblivious_forced,1.4157618752361483,1.3018752063632015,1.5487218709572437,480
main,pcqv_vs_predicate_injection,1.0250639074763384,1.0045145261876123,1.0443128345825512,480
standard_schema,pcqv_vs_view_barrier,7.482755826220197,5.254809296157556,14.019595261119996,36
standard_schema,pcqv_vs_raw_post_filter_control,2.7435904198987124,2.1636345168075732,5.287595375249054,36
standard_schema,pcqv_vs_predicate_injection,0.8145344839307727,0.66087499886722,0.9220759821813617,36
joblike,pcqv_job_vs_view_barrier,2.7528671550499944,2.478634801174505,7.6514426364009305,24
joblike,pcqv_job_vs_oblivious_forced,1.000693483509741,0.8820655966503839,1.1396422388920946,24
joblike,pcqv_job_vs_predicate_injection,0.9999823297855043,0.6926145606301655,1.1623136879529605,24
cardinality,plain_qerr_over_policy_qerr,0.9153516373255496,0.9059312843643371,0.9272997032640949,1230
planning,pcqv_compile_ms,0.15728399999999998,0.1350835,0.218618,192
