case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
1,fz001,aggregate,tickets+customers+orders,0.025,4,post_join_filter,1,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,view_barrier,1,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,predicate_injection,1,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,pcqv_forced,1,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,pcqv,1,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,oracle_order,1,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,unsafe_late_aggregate,0,0,8,8,
1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_no_mask,0,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_tenant,0,0,1,1,
1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_purpose,0,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_clearance,0,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_region,0,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_cross_guard,0,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_drop_acl,0,1,0,0,
1,fz001,aggregate,tickets+customers+orders,0.025,4,mut_no_group_guard,0,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,post_join_filter,1,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,view_barrier,1,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,predicate_injection,1,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,pcqv_forced,1,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,pcqv,1,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,oracle_order,1,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,unsafe_late_aggregate,0,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_no_mask,0,0,130,65,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_tenant,0,0,206,103,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_purpose,0,0,290,145,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_clearance,0,0,34,17,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_region,0,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_cross_guard,0,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_drop_acl,0,1,0,0,
2,fz002,rows,lineitem+products+orders+customers,0.5,6,mut_no_group_guard,0,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,post_join_filter,1,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,view_barrier,1,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,predicate_injection,1,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,pcqv_forced,1,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,pcqv,1,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,oracle_order,1,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,unsafe_late_aggregate,0,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,mut_no_mask,0,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,mut_drop_tenant,0,0,307,193,
3,fz003,rows,lineitem+products,0.025,4,mut_drop_purpose,0,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,mut_drop_clearance,0,0,68,68,
3,fz003,rows,lineitem+products,0.025,4,mut_drop_region,0,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,mut_drop_cross_guard,0,0,12,12,
3,fz003,rows,lineitem+products,0.025,4,mut_drop_acl,0,1,0,0,
3,fz003,rows,lineitem+products,0.025,4,mut_no_group_guard,0,1,0,0,
4,fz004,rows,tickets,0.1,1,post_join_filter,1,1,0,0,
4,fz004,rows,tickets,0.1,1,view_barrier,1,1,0,0,
4,fz004,rows,tickets,0.1,1,predicate_injection,1,1,0,0,
4,fz004,rows,tickets,0.1,1,pcqv_forced,1,1,0,0,
4,fz004,rows,tickets,0.1,1,pcqv,1,1,0,0,
4,fz004,rows,tickets,0.1,1,oracle_order,1,1,0,0,
4,fz004,rows,tickets,0.1,1,unsafe_late_aggregate,0,1,0,0,
4,fz004,rows,tickets,0.1,1,mut_no_mask,0,1,0,0,
4,fz004,rows,tickets,0.1,1,mut_drop_tenant,0,0,343,183,
4,fz004,rows,tickets,0.1,1,mut_drop_purpose,0,1,0,0,
4,fz004,rows,tickets,0.1,1,mut_drop_clearance,0,1,0,0,
4,fz004,rows,tickets,0.1,1,mut_drop_region,0,1,0,0,
4,fz004,rows,tickets,0.1,1,mut_drop_cross_guard,0,1,0,0,
4,fz004,rows,tickets,0.1,1,mut_drop_acl,0,1,0,0,
4,fz004,rows,tickets,0.1,1,mut_no_group_guard,0,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,post_join_filter,1,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,view_barrier,1,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,predicate_injection,1,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,pcqv_forced,1,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,pcqv,1,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,oracle_order,1,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,unsafe_late_aggregate,0,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,mut_no_mask,0,0,46,23,
5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_tenant,0,0,193,185,
5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_purpose,0,0,93,93,
5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_clearance,0,0,2,2,
5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_region,0,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_cross_guard,0,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,mut_drop_acl,0,1,0,0,
5,fz005,rows,tickets+customers+orders,0.1,6,mut_no_group_guard,0,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,post_join_filter,1,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,view_barrier,1,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,predicate_injection,1,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,pcqv_forced,1,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,pcqv,1,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,oracle_order,1,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,unsafe_late_aggregate,0,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,mut_no_mask,0,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_tenant,0,0,168,84,
6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_purpose,0,0,272,136,
6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_clearance,0,0,22,11,
6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_region,0,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_cross_guard,0,0,88,44,
6,fz006,rows,products+lineitem+orders,0.5,6,mut_drop_acl,0,1,0,0,
6,fz006,rows,products+lineitem+orders,0.5,6,mut_no_group_guard,0,1,0,0,
7,fz007,rows,customers+orders,0.05,1,post_join_filter,1,1,0,0,
7,fz007,rows,customers+orders,0.05,1,view_barrier,1,1,0,0,
7,fz007,rows,customers+orders,0.05,1,predicate_injection,1,1,0,0,
7,fz007,rows,customers+orders,0.05,1,pcqv_forced,1,1,0,0,
7,fz007,rows,customers+orders,0.05,1,pcqv,1,1,0,0,
7,fz007,rows,customers+orders,0.05,1,oracle_order,1,1,0,0,
7,fz007,rows,customers+orders,0.05,1,unsafe_late_aggregate,0,1,0,0,
7,fz007,rows,customers+orders,0.05,1,mut_no_mask,0,0,336,168,
7,fz007,rows,customers+orders,0.05,1,mut_drop_tenant,0,0,364,198,
7,fz007,rows,customers+orders,0.05,1,mut_drop_purpose,0,1,0,0,
7,fz007,rows,customers+orders,0.05,1,mut_drop_clearance,0,1,0,0,
7,fz007,rows,customers+orders,0.05,1,mut_drop_region,0,1,0,0,
7,fz007,rows,customers+orders,0.05,1,mut_drop_cross_guard,0,1,0,0,
7,fz007,rows,customers+orders,0.05,1,mut_drop_acl,0,1,0,0,
7,fz007,rows,customers+orders,0.05,1,mut_no_group_guard,0,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,post_join_filter,1,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,view_barrier,1,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,predicate_injection,1,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,pcqv_forced,1,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,pcqv,1,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,oracle_order,1,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,unsafe_late_aggregate,0,0,10,5,
8,fz008,aggregate,lineitem+products,0.1,1,mut_no_mask,0,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,mut_drop_tenant,0,0,10,5,
8,fz008,aggregate,lineitem+products,0.1,1,mut_drop_purpose,0,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,mut_drop_clearance,0,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,mut_drop_region,0,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,mut_drop_cross_guard,0,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,mut_drop_acl,0,1,0,0,
8,fz008,aggregate,lineitem+products,0.1,1,mut_no_group_guard,0,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,post_join_filter,1,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,view_barrier,1,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,predicate_injection,1,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,pcqv_forced,1,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,pcqv,1,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,oracle_order,1,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,unsafe_late_aggregate,0,0,40,40,
9,fz009,aggregate,orders+lineitem,0.025,6,mut_no_mask,0,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,mut_drop_tenant,0,0,8,8,
9,fz009,aggregate,orders+lineitem,0.025,6,mut_drop_purpose,0,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,mut_drop_clearance,0,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,mut_drop_region,0,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,mut_drop_cross_guard,0,0,1,1,
9,fz009,aggregate,orders+lineitem,0.025,6,mut_drop_acl,0,1,0,0,
9,fz009,aggregate,orders+lineitem,0.025,6,mut_no_group_guard,0,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,post_join_filter,1,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,view_barrier,1,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,predicate_injection,1,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,pcqv_forced,1,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,pcqv,1,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,oracle_order,1,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,unsafe_late_aggregate,0,0,7,5,
10,fz010,aggregate,tickets+customers+orders,0.1,6,mut_no_mask,0,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,mut_drop_tenant,0,0,7,5,
10,fz010,aggregate,tickets+customers+orders,0.1,6,mut_drop_purpose,0,0,6,4,
10,fz010,aggregate,tickets+customers+orders,0.1,6,mut_drop_clearance,0,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,mut_drop_region,0,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,mut_drop_cross_guard,0,0,2,1,
10,fz010,aggregate,tickets+customers+orders,0.1,6,mut_drop_acl,0,1,0,0,
10,fz010,aggregate,tickets+customers+orders,0.1,6,mut_no_group_guard,0,0,3,3,
11,fz011,rows,products+lineitem,0.05,3,post_join_filter,1,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,view_barrier,1,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,predicate_injection,1,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,pcqv_forced,1,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,pcqv,1,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,oracle_order,1,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,unsafe_late_aggregate,0,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,mut_no_mask,0,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,mut_drop_tenant,0,0,200,200,
11,fz011,rows,products+lineitem,0.05,3,mut_drop_purpose,0,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,mut_drop_clearance,0,0,96,96,
11,fz011,rows,products+lineitem,0.05,3,mut_drop_region,0,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,mut_drop_cross_guard,0,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,mut_drop_acl,0,1,0,0,
11,fz011,rows,products+lineitem,0.05,3,mut_no_group_guard,0,1,0,0,
12,fz012,rows,lineitem,0.1,5,post_join_filter,1,1,0,0,
12,fz012,rows,lineitem,0.1,5,view_barrier,1,1,0,0,
12,fz012,rows,lineitem,0.1,5,predicate_injection,1,1,0,0,
12,fz012,rows,lineitem,0.1,5,pcqv_forced,1,1,0,0,
12,fz012,rows,lineitem,0.1,5,pcqv,1,1,0,0,
12,fz012,rows,lineitem,0.1,5,oracle_order,1,1,0,0,
12,fz012,rows,lineitem,0.1,5,unsafe_late_aggregate,0,1,0,0,
12,fz012,rows,lineitem,0.1,5,mut_no_mask,0,1,0,0,
12,fz012,rows,lineitem,0.1,5,mut_drop_tenant,0,0,346,173,
12,fz012,rows,lineitem,0.1,5,mut_drop_purpose,0,1,0,0,
12,fz012,rows,lineitem,0.1,5,mut_drop_clearance,0,1,0,0,
12,fz012,rows,lineitem,0.1,5,mut_drop_region,0,1,0,0,
12,fz012,rows,lineitem,0.1,5,mut_drop_cross_guard,0,0,46,23,
12,fz012,rows,lineitem,0.1,5,mut_drop_acl,0,1,0,0,
12,fz012,rows,lineitem,0.1,5,mut_no_group_guard,0,1,0,0,
13,fz013,aggregate,tickets+customers+orders,0.025,5,post_join_filter,1,1,0,0,
13,fz013,aggregate,tickets+customers+orders,0.025,5,view_barrier,1,1,0,0,
13,fz013,aggregate,tickets+customers+orders,0.025,5,predicate_injection,1,1,0,0,
13,fz013,aggregate,tickets+customers+orders,0.025,5,pcqv_forced,1,1,0,0,
13,fz013,aggregate,tickets+customers+orders,0.025,5,pcqv,1,1,0,0,
13,fz013,aggregate,tickets+customers+orders,0.025,5,oracle_order,1,1,0,0,
13,fz013,aggregate,tickets+customers+orders,0.025,5,unsafe_late_aggregate,0,0,32,32,
13,fz013,aggregate,tickets+customers+orders,0.025,5,mut_no_mask,0,1,0,0,
