benchmark,scale,context,query,method,latency_ms,rows,error
tpch_ssb_like,0.5,broad,tpch_q3_revenue,view_barrier,10.32927,2,
tpch_ssb_like,0.5,broad,tpch_q3_revenue,raw_post_filter_control,2.463507,2,
tpch_ssb_like,0.5,broad,tpch_q3_revenue,unsafe_late_aggregate,2.42877,2,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,pcqv,2.667964,5,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,predicate_injection,2.227634,5,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,view_barrier,15.628223,5,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,raw_post_filter_control,5.772499,5,
tpch_ssb_like,0.5,broad,tpch_q5_region_supplier,unsafe_late_aggregate,5.706665,5,
tpch_ssb_like,0.5,broad,tpch_q6_discount,pcqv,1.809276,1,
tpch_ssb_like,0.5,broad,tpch_q6_discount,predicate_injection,1.717058,1,
tpch_ssb_like,0.5,broad,tpch_q6_discount,view_barrier,12.617418,1,
tpch_ssb_like,0.5,broad,tpch_q6_discount,raw_post_filter_control,4.360617,1,
tpch_ssb_like,0.5,broad,tpch_q6_discount,unsafe_late_aggregate,4.147405,1,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,pcqv,2.563431,5,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,predicate_injection,2.236106,5,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,view_barrier,524.393178,5,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,raw_post_filter_control,7.60164,5,
tpch_ssb_like,0.5,broad,tpch_q10_customer_loss,unsafe_late_aggregate,6.824273,5,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,pcqv,5.059364,3,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,predicate_injection,2.887159,3,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,view_barrier,15.733835,3,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,raw_post_filter_control,5.974357,3,
tpch_ssb_like,0.5,broad,ssb_brand_revenue,unsafe_late_aggregate,6.345647,3,
