scale,selectivity,complexity,query,method,latency_ms,rows,error
0.48,0.1,3,q6_lineitem_product_count,pcqv_forced,0.755,8,
0.48,0.1,3,q6_lineitem_product_count,pcqv,0.9327,8,
0.48,0.1,3,q8_sensitive_product_scan,predicate_injection,1.5446,16,
0.48,0.1,3,q8_sensitive_product_scan,view_barrier,8.2132,16,
0.48,0.1,3,q8_sensitive_product_scan,oblivious_forced,4.5054,16,
0.48,0.1,3,q8_sensitive_product_scan,pcqv_forced,1.5584,16,
0.48,0.1,3,q8_sensitive_product_scan,pcqv,1.5723,16,
0.48,0.1,3,q12_product_segment_revenue,predicate_injection,0.5502,27,
0.48,0.1,3,q12_product_segment_revenue,view_barrier,10.5112,27,
0.48,0.1,3,q12_product_segment_revenue,oblivious_forced,0.9422,27,
0.48,0.1,3,q12_product_segment_revenue,pcqv_forced,0.4904,27,
0.48,0.1,3,q12_product_segment_revenue,pcqv,0.5025,27,
0.48,0.1,3,q16_region_product_mix,predicate_injection,0.7042,26,
0.48,0.1,3,q16_region_product_mix,view_barrier,8.0535,26,
0.48,0.1,3,q16_region_product_mix,oblivious_forced,0.7088,26,
0.48,0.1,3,q16_region_product_mix,pcqv_forced,0.6714,26,
0.48,0.1,3,q16_region_product_mix,pcqv,0.6964,26,
0.48,0.1,6,q1_customer_orders,predicate_injection,0.5564,87,
0.48,0.1,6,q1_customer_orders,view_barrier,9.0445,87,
0.48,0.1,6,q1_customer_orders,oblivious_forced,3.1846,87,
0.48,0.1,6,q1_customer_orders,pcqv_forced,0.6433,87,
0.48,0.1,6,q1_customer_orders,pcqv,0.638,87,
0.48,0.1,6,q4_revenue_by_region,predicate_injection,1.9647,3,
0.48,0.1,6,q4_revenue_by_region,view_barrier,9.9802,3,
0.48,0.1,6,q4_revenue_by_region,oblivious_forced,4.3501,3,
0.48,0.1,6,q4_revenue_by_region,pcqv_forced,1.2104,3,
0.48,0.1,6,q4_revenue_by_region,pcqv,1.2352,3,
0.48,0.1,6,q6_lineitem_product_count,predicate_injection,1.1929,8,
0.48,0.1,6,q6_lineitem_product_count,view_barrier,9.992,8,
0.48,0.1,6,q6_lineitem_product_count,oblivious_forced,6.0179,8,
0.48,0.1,6,q6_lineitem_product_count,pcqv_forced,1.2311,8,
0.48,0.1,6,q6_lineitem_product_count,pcqv,1.2088,8,
0.48,0.1,6,q8_sensitive_product_scan,predicate_injection,2.9141,16,
0.48,0.1,6,q8_sensitive_product_scan,view_barrier,9.4804,16,
0.48,0.1,6,q8_sensitive_product_scan,oblivious_forced,5.9091,16,
0.48,0.1,6,q8_sensitive_product_scan,pcqv_forced,2.8785,16,
0.48,0.1,6,q8_sensitive_product_scan,pcqv,2.8576,16,
0.48,0.1,6,q12_product_segment_revenue,predicate_injection,1.0753,3,
0.48,0.1,6,q12_product_segment_revenue,view_barrier,11.8185,3,
0.48,0.1,6,q12_product_segment_revenue,oblivious_forced,1.0552,3,
0.48,0.1,6,q12_product_segment_revenue,pcqv_forced,1.4036,3,
0.48,0.1,6,q12_product_segment_revenue,pcqv,1.0513,3,
0.48,0.1,6,q16_region_product_mix,predicate_injection,1.6211,9,
0.48,0.1,6,q16_region_product_mix,view_barrier,10.681,9,
0.48,0.1,6,q16_region_product_mix,oblivious_forced,1.1067,9,
0.48,0.1,6,q16_region_product_mix,pcqv_forced,1.0865,9,
0.48,0.1,6,q16_region_product_mix,pcqv,1.5342,9,
0.48,0.5,3,q1_customer_orders,predicate_injection,4.7441,250,
0.48,0.5,3,q1_customer_orders,view_barrier,41.5377,250,
0.48,0.5,3,q1_customer_orders,oblivious_forced,5.7521,250,
0.48,0.5,3,q1_customer_orders,pcqv_forced,4.588,250,
0.48,0.5,3,q1_customer_orders,pcqv,4.6392,250,
0.48,0.5,3,q4_revenue_by_region,predicate_injection,20.9965,6,
0.48,0.5,3,q4_revenue_by_region,view_barrier,48.4156,6,
0.48,0.5,3,q4_revenue_by_region,oblivious_forced,13.5131,6,
0.48,0.5,3,q4_revenue_by_region,pcqv_forced,23.1729,6,
0.48,0.5,3,q4_revenue_by_region,pcqv,24.4468,6,
0.48,0.5,3,q6_lineitem_product_count,predicate_injection,22.5132,8,
0.48,0.5,3,q6_lineitem_product_count,view_barrier,50.6733,8,
0.48,0.5,3,q6_lineitem_product_count,oblivious_forced,25.734,8,
0.48,0.5,3,q6_lineitem_product_count,pcqv_forced,22.7371,8,
0.48,0.5,3,q6_lineitem_product_count,pcqv,22.3087,8,
0.48,0.5,3,q8_sensitive_product_scan,predicate_injection,11.9115,36,
0.48,0.5,3,q8_sensitive_product_scan,view_barrier,47.9893,36,
0.48,0.5,3,q8_sensitive_product_scan,oblivious_forced,29.6698,36,
0.48,0.5,3,q8_sensitive_product_scan,pcqv_forced,11.5596,36,
0.48,0.5,3,q8_sensitive_product_scan,pcqv,11.621,36,
0.48,0.5,3,q12_product_segment_revenue,predicate_injection,29.0716,27,
0.48,0.5,3,q12_product_segment_revenue,view_barrier,54.6104,27,
0.48,0.5,3,q12_product_segment_revenue,oblivious_forced,14.0575,27,
0.48,0.5,3,q12_product_segment_revenue,pcqv_forced,17.2968,27,
0.48,0.5,3,q12_product_segment_revenue,pcqv,27.5291,27,
0.48,0.5,3,q16_region_product_mix,predicate_injection,17.1689,54,
0.48,0.5,3,q16_region_product_mix,view_barrier,50.9754,54,
0.48,0.5,3,q16_region_product_mix,oblivious_forced,20.6382,54,
0.48,0.5,3,q16_region_product_mix,pcqv_forced,20.3402,54,
0.48,0.5,3,q16_region_product_mix,pcqv,16.9973,54,
0.48,0.5,6,q1_customer_orders,predicate_injection,6.5856,250,
0.48,0.5,6,q1_customer_orders,view_barrier,47.8238,250,
0.48,0.5,6,q1_customer_orders,oblivious_forced,14.8128,250,
0.48,0.5,6,q1_customer_orders,pcqv_forced,1.7584,250,
0.48,0.5,6,q1_customer_orders,pcqv,1.7578,250,
0.48,0.5,6,q4_revenue_by_region,predicate_injection,23.555,6,
0.48,0.5,6,q4_revenue_by_region,view_barrier,55.2724,6,
0.48,0.5,6,q4_revenue_by_region,oblivious_forced,24.9409,6,
0.48,0.5,6,q4_revenue_by_region,pcqv_forced,25.7725,6,
0.48,0.5,6,q4_revenue_by_region,pcqv,25.5229,6,
0.48,0.5,6,q6_lineitem_product_count,predicate_injection,30.1146,8,
0.48,0.5,6,q6_lineitem_product_count,view_barrier,56.7754,8,
0.48,0.5,6,q6_lineitem_product_count,oblivious_forced,34.4941,8,
0.48,0.5,6,q6_lineitem_product_count,pcqv_forced,25.9533,8,
0.48,0.5,6,q6_lineitem_product_count,pcqv,25.2926,8,
0.48,0.5,6,q8_sensitive_product_scan,predicate_injection,22.6797,36,
0.48,0.5,6,q8_sensitive_product_scan,view_barrier,52.4799,36,
0.48,0.5,6,q8_sensitive_product_scan,oblivious_forced,37.5545,36,
0.48,0.5,6,q8_sensitive_product_scan,pcqv_forced,23.3852,36,
0.48,0.5,6,q8_sensitive_product_scan,pcqv,23.0354,36,
0.48,0.5,6,q12_product_segment_revenue,predicate_injection,39.4175,27,
0.48,0.5,6,q12_product_segment_revenue,view_barrier,63.553,27,
0.48,0.5,6,q12_product_segment_revenue,oblivious_forced,16.7732,27,
0.48,0.5,6,q12_product_segment_revenue,pcqv_forced,18.334,27,
0.48,0.5,6,q12_product_segment_revenue,pcqv,40.6832,27,
0.48,0.5,6,q16_region_product_mix,predicate_injection,21.4977,54,
0.48,0.5,6,q16_region_product_mix,view_barrier,57.7659,54,
0.48,0.5,6,q16_region_product_mix,oblivious_forced,22.2369,54,
0.48,0.5,6,q16_region_product_mix,pcqv_forced,21.8759,54,
0.48,0.5,6,q16_region_product_mix,pcqv,19.8378,54,
