aliases,case,exact_cost,greedy_cost,exact_orders,greedy_regret,exact_order,greedy_order
4,0,7348.423079896895,7348.423079896895,24,1.0,bcad,bcad
4,1,459.3753044801805,459.3753044801805,24,1.0,abdc,abdc
4,2,279.71628325441384,279.78500011400246,24,1.0002456662829533,adbc,abcd
4,3,15209.9891389628,15209.9891389628,24,1.0,cabd,cabd
4,4,11835.461181200078,11835.461181200078,24,1.0,cbda,cbda
4,5,208.89413948109888,208.89413948109888,24,1.0,abcd,abcd
4,6,3327.4338179932024,3444.3390133275534,24,1.0351337402121066,dabc,dcab
4,7,145.43529808167102,145.43529808167102,24,1.0,abcd,abcd
4,8,417.35718842423023,417.35718842423023,24,1.0,bacd,bacd
4,9,259.7821589353311,259.7821589353311,24,1.0,cabd,cbda
4,10,1091.3801959705722,1102.4699412865255,24,1.010161211791177,dbac,dbca
4,11,4735.358940948484,4764.504384527565,24,1.0061548541393661,bacd,bdac
4,12,1041.9244729094876,1041.9244729094876,24,1.0,bacd,bacd
4,13,504.3008069526726,504.3008069526726,24,1.0,bacd,bacd
4,14,648.3137740458632,649.4536627319515,24,1.0017582361068387,bdac,bcda
4,15,18030.625521270067,19235.30151298558,24,1.0668127675489907,bcda,dcba
4,16,462.7024344506091,462.7024344506091,24,1.0,abdc,abdc
4,17,6012.365347214188,6012.365347214188,24,1.0,bdac,bdac
4,18,2059.5941611872386,2059.5941611872386,24,1.0,bdac,bdac
4,19,1479.4076105501042,1479.4076105501042,24,1.0,acbd,acbd
4,20,225.39170240089197,227.6839694789802,24,1.0101701484733945,dbac,cabd
4,21,4420.431280705165,4420.431280705165,24,1.0,cadb,cadb
4,22,82.21588823236554,82.55393522086496,24,1.0041116990373442,cabd,cdba
4,23,14158.707314280768,14158.707314280768,24,1.0,adcb,adcb
4,24,140.18836280539577,140.18836280539577,24,1.0,dabc,dcab
4,25,2226.9177731084646,2576.8107540560736,24,1.1571198475187556,dbca,acdb
4,26,8153.323639168925,8153.323639168925,24,1.0,bacd,bacd
4,27,708.4673953785991,708.4673953785991,24,1.0,acbd,acdb
4,28,16398.950658253954,16398.950658253954,24,1.0,acdb,acdb
