selectivity,complexity,query,method,latency_ms,rows,error
0.05,3,q13_order_lineitem_rows,oblivious_forced,0.2036,56,
0.05,3,q13_order_lineitem_rows,pcqv_no_order,0.191,56,
0.05,3,q13_order_lineitem_rows,pcqv_no_stats,0.5371,56,
0.05,3,q13_order_lineitem_rows,pcqv_greedy,0.2184,56,
0.05,3,q13_order_lineitem_rows,pcqv_forced,0.1785,56,
0.05,3,q13_order_lineitem_rows,pcqv,0.1714,56,
0.05,3,q13_order_lineitem_rows,oracle_order,0.2079,56,
0.05,3,q14_support_owner_rows,oblivious_forced,0.0994,2,
0.05,3,q14_support_owner_rows,pcqv_no_order,0.0484,2,
0.05,3,q14_support_owner_rows,pcqv_no_stats,0.0481,2,
0.05,3,q14_support_owner_rows,pcqv_greedy,0.1434,2,
0.05,3,q14_support_owner_rows,pcqv_forced,0.0863,2,
0.05,3,q14_support_owner_rows,pcqv,0.0622,2,
0.05,3,q14_support_owner_rows,oracle_order,0.0631,2,
0.05,3,q15_clearance_product_rows,oblivious_forced,0.1452,1,
0.05,3,q15_clearance_product_rows,pcqv_no_order,0.0624,1,
0.05,3,q15_clearance_product_rows,pcqv_no_stats,0.1338,1,
0.05,3,q15_clearance_product_rows,pcqv_greedy,0.0443,1,
0.05,3,q15_clearance_product_rows,pcqv_forced,0.0567,1,
0.05,3,q15_clearance_product_rows,pcqv,0.0576,1,
0.05,3,q15_clearance_product_rows,oracle_order,0.064,1,
0.05,3,q16_region_product_mix,oblivious_forced,0.0964,0,
0.05,3,q16_region_product_mix,pcqv_no_order,0.0534,0,
0.05,3,q16_region_product_mix,pcqv_no_stats,0.1332,0,
0.05,3,q16_region_product_mix,pcqv_greedy,0.3437,0,
0.05,3,q16_region_product_mix,pcqv_forced,0.0621,0,
0.05,3,q16_region_product_mix,pcqv,0.0611,0,
0.05,3,q16_region_product_mix,oracle_order,0.0991,0,
0.05,5,q1_customer_orders,oblivious_forced,0.42,0,
0.05,5,q1_customer_orders,pcqv_no_order,0.1402,0,
0.05,5,q1_customer_orders,pcqv_no_stats,0.0749,0,
0.05,5,q1_customer_orders,pcqv_greedy,0.1081,0,
0.05,5,q1_customer_orders,pcqv_forced,0.0882,0,
0.05,5,q1_customer_orders,pcqv,0.092,0,
