case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
1,fz001,aggregate,products+lineitem,0.05,2,post_join_filter,1,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,view_barrier,1,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,predicate_injection,1,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,pcqv_forced,1,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,pcqv,1,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,oracle_order,1,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,unsafe_late_aggregate,0,0,63,48,
1,fz001,aggregate,products+lineitem,0.05,2,mut_no_mask,0,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,mut_drop_tenant,0,0,61,46,
1,fz001,aggregate,products+lineitem,0.05,2,mut_drop_purpose,0,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,mut_drop_clearance,0,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,mut_drop_region,0,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,mut_drop_cross_guard,0,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,mut_drop_acl,0,1,0,0,
1,fz001,aggregate,products+lineitem,0.05,2,mut_no_group_guard,0,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,post_join_filter,1,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,view_barrier,1,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,predicate_injection,1,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,pcqv_forced,1,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,pcqv,1,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,oracle_order,1,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,unsafe_late_aggregate,0,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,mut_no_mask,0,0,94,47,
2,fz002,rows,tickets+customers+orders,0.25,4,mut_drop_tenant,0,0,152,128,
2,fz002,rows,tickets+customers+orders,0.25,4,mut_drop_purpose,0,0,192,148,
2,fz002,rows,tickets+customers+orders,0.25,4,mut_drop_clearance,0,0,6,6,
2,fz002,rows,tickets+customers+orders,0.25,4,mut_drop_region,0,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,mut_drop_cross_guard,0,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,mut_drop_acl,0,1,0,0,
2,fz002,rows,tickets+customers+orders,0.25,4,mut_no_group_guard,0,1,0,0,
3,fz003,rows,lineitem,0.025,1,post_join_filter,1,1,0,0,
3,fz003,rows,lineitem,0.025,1,view_barrier,1,1,0,0,
3,fz003,rows,lineitem,0.025,1,predicate_injection,1,1,0,0,
3,fz003,rows,lineitem,0.025,1,pcqv_forced,1,1,0,0,
3,fz003,rows,lineitem,0.025,1,pcqv,1,1,0,0,
3,fz003,rows,lineitem,0.025,1,oracle_order,1,1,0,0,
3,fz003,rows,lineitem,0.025,1,unsafe_late_aggregate,0,1,0,0,
3,fz003,rows,lineitem,0.025,1,mut_no_mask,0,1,0,0,
3,fz003,rows,lineitem,0.025,1,mut_drop_tenant,0,0,394,197,
3,fz003,rows,lineitem,0.025,1,mut_drop_purpose,0,1,0,0,
3,fz003,rows,lineitem,0.025,1,mut_drop_clearance,0,1,0,0,
3,fz003,rows,lineitem,0.025,1,mut_drop_region,0,1,0,0,
3,fz003,rows,lineitem,0.025,1,mut_drop_cross_guard,0,1,0,0,
3,fz003,rows,lineitem,0.025,1,mut_drop_acl,0,1,0,0,
3,fz003,rows,lineitem,0.025,1,mut_no_group_guard,0,1,0,0,
4,fz004,rows,lineitem,0.05,1,post_join_filter,1,1,0,0,
4,fz004,rows,lineitem,0.05,1,view_barrier,1,1,0,0,
4,fz004,rows,lineitem,0.05,1,predicate_injection,1,1,0,0,
4,fz004,rows,lineitem,0.05,1,pcqv_forced,1,1,0,0,
4,fz004,rows,lineitem,0.05,1,pcqv,1,1,0,0,
4,fz004,rows,lineitem,0.05,1,oracle_order,1,1,0,0,
4,fz004,rows,lineitem,0.05,1,unsafe_late_aggregate,0,1,0,0,
4,fz004,rows,lineitem,0.05,1,mut_no_mask,0,1,0,0,
4,fz004,rows,lineitem,0.05,1,mut_drop_tenant,0,0,386,193,
4,fz004,rows,lineitem,0.05,1,mut_drop_purpose,0,1,0,0,
4,fz004,rows,lineitem,0.05,1,mut_drop_clearance,0,1,0,0,
4,fz004,rows,lineitem,0.05,1,mut_drop_region,0,1,0,0,
4,fz004,rows,lineitem,0.05,1,mut_drop_cross_guard,0,1,0,0,
4,fz004,rows,lineitem,0.05,1,mut_drop_acl,0,1,0,0,
